x,y,time_seconds,isnan
891,436,0.016655000000000086,False
892,432,0.03331000000000017,False
896,432,0.04996500000000026,False
893,429,0.0666190000000011,False
889,431,0.08327400000000118,False
892,432,0.09992900000000127,False
891,432,0.11658300000000033,False
897,438,0.1332380000000004,False
897,437,0.1498930000000005,False
893,431,0.16654699999999956,False
893,431,0.18320199999999964,False
891,430,0.19985699999999973,False
895,430,0.21651199999999982,False
892,426,0.23316600000000065,False
891,427,0.24982100000000074,False
894,429,0.2664760000000008,False
895,429,0.2831299999999999,False
892,432,0.29978499999999997,False
887,428,0.31644000000000005,False
889,428,0.3330940000000009,False
893,428,0.349749000000001,False
886,432,0.36640400000000106,False
882,430,0.3830580000000001,False
885,424,0.3997130000000002,False
883,424,0.4163680000000003,False
885,423,0.43302200000000113,False
888,426,0.4496770000000012,False
888,426,0.4663319999999995,False
888,421,0.4829869999999996,False
888,419,0.49964100000000045,False
888,418,0.5162960000000005,False
889,421,0.5329510000000006,False
892,426,0.5496040000000004,False
890,424,0.5662590000000005,False
890,426,0.5829140000000006,False
886,428,0.5995690000000007,False
884,428,0.6162240000000008,False
887,427,0.6328790000000009,False
846,428,0.6495329999999999,False
809,435,0.666188,False
807,437,0.6828430000000001,False
812,436,0.6994970000000009,False
810,435,0.716152000000001,False
808,433,0.7328070000000011,False
809,431,0.7494620000000012,False
807,432,0.7661160000000002,False
810,431,0.7827710000000003,False
815,431,0.7994260000000004,False
811,431,0.8160800000000012,False
809,432,0.8327340000000003,False
814,434,0.8493890000000004,False
819,433,0.8660430000000012,False
815,433,0.8826990000000006,False
808,432,0.8993540000000007,False
813,436,0.9160079999999997,False
818,438,0.9326629999999998,False
817,437,0.9493179999999999,False
840,441,0.9659720000000007,False
884,439,0.9826270000000008,False
896,439,0.9992820000000009,False
898,438,1.015937000000001,False
899,443,1.0325900000000008,False
898,447,1.0492450000000009,False
902,440,1.0659010000000002,False
901,439,1.082555000000001,False
898,445,1.099209,False
894,440,1.1158640000000002,False
893,433,1.132518000000001,False
897,433,1.149173000000001,False
899,434,1.1658290000000004,False
901,436,1.1824830000000013,False
934,437,1.1991379999999996,False
981,437,1.2157929999999997,False
987,435,1.2324470000000005,False
987,435,1.2491020000000006,False
989,435,1.2657570000000007,False
990,436,1.2824120000000008,False
990,446,1.2990650000000006,False
989,447,1.3157200000000007,False
990,442,1.3323750000000008,False
990,443,1.3490289999999998,False
987,434,1.365684,False
989,434,1.382339,False
1006,436,1.3989930000000008,False
987,482,1.415648000000001,False
991,481,1.432303000000001,False
992,484,1.448958000000001,False
993,495,1.4656130000000012,False
994,495,1.4822680000000013,False
985,493,1.4989220000000003,False
986,491,1.5155770000000004,False
988,495,1.5322320000000005,False
986,496,1.5488859999999995,False
988,493,1.5655400000000004,False
997,448,1.5821950000000005,False
960,445,1.5988500000000005,False
898,461,1.6155039999999996,False
896,468,1.6321589999999997,False
894,467,1.6488139999999998,False
897,477,1.6654680000000006,False
893,478,1.6821230000000007,False
891,472,1.6987780000000008,False
900,470,1.7154319999999998,False
904,472,1.732087,False
896,469,1.748742,False
890,467,1.7653960000000009,False
897,469,1.782051000000001,False
898,477,1.798706000000001,False
893,474,1.8153610000000011,False
899,462,1.8320150000000002,False
903,464,1.8486700000000003,False
900,467,1.8653250000000003,False
904,472,1.8819790000000012,False
912,467,1.8986340000000013,False
937,482,1.9152889999999996,False
934,504,1.9319430000000004,False
933,505,1.9485980000000005,False
960,462,1.9652530000000006,False
955,463,1.9819069999999996,False
928,507,1.9985619999999997,False
924,508,2.015217,False
925,502,2.031870999999999,False
931,502,2.048525999999999,False
931,500,2.065180999999999,False
929,497,2.081835999999999,False
931,504,2.0984900000000017,False
928,506,2.115145000000002,False
929,504,2.131800000000002,False
932,507,2.148454000000001,False
926,498,2.165109000000001,False
921,493,2.181764000000001,False
927,501,2.198418,False
933,500,2.2150719999999993,False
927,488,2.2317269999999994,False
925,489,2.248381000000002,False
927,498,2.2650369999999995,False
921,500,2.2816919999999996,False
916,497,2.2983459999999987,False
923,499,2.3150009999999988,False
929,495,2.331655999999999,False
926,481,2.348310999999999,False
926,480,2.3649650000000015,False
927,477,2.3816200000000016,False
928,472,2.3982750000000017,False
927,473,2.4149290000000008,False
926,472,2.431584000000001,False
925,470,2.448239000000001,False
925,468,2.464891999999999,False
925,465,2.481546999999999,False
922,468,2.498201999999999,False
919,471,2.5148560000000018,False
923,470,2.531511000000002,False
926,469,2.548166000000002,False
916,474,2.564820000000001,False
863,456,2.581475000000001,False
839,437,2.598130000000001,False
845,439,2.6147850000000012,False
841,439,2.6314390000000003,False
841,439,2.6480940000000004,False
845,448,2.6647500000000015,False
844,450,2.6814040000000006,False
840,443,2.6980590000000007,False
840,439,2.7147129999999997,False
844,440,2.7313669999999988,False
847,445,2.748021999999999,False
843,444,2.764676999999999,False
839,441,2.7813310000000016,False
843,438,2.7979860000000016,False
842,437,2.8146410000000017,False
829,439,2.831295000000001,False
814,443,2.847950000000001,False
806,443,2.864605000000001,False
808,440,2.881260000000001,False
811,444,2.897914,False
814,448,2.914569,False
810,444,2.9312240000000003,False
807,443,2.9478779999999993,False
809,447,2.9645329999999994,False
809,444,2.9811879999999995,False
813,442,2.997842000000002,False
813,445,3.0144969999999986,False
820,444,3.0311519999999987,False
867,474,3.0478050000000003,False
946,509,3.0644610000000014,False
946,497,3.0811160000000015,False
940,496,3.0977700000000006,False
945,501,3.1144250000000007,False
946,499,3.1310800000000008,False
943,496,3.147735000000001,False
942,495,3.164389,False
937,512,3.181044,False
918,544,3.197699,False
831,634,3.214352999999999,False
839,643,3.231007999999999,False
949,487,3.2476629999999993,False
940,504,3.264317000000002,False
937,499,3.280971000000001,False
939,497,3.297626000000001,False
938,502,3.31428,False
936,495,3.330935,False
928,492,3.3475900000000003,False
950,463,3.3642439999999993,False
950,460,3.3808989999999994,False
929,494,3.3975539999999995,False
928,492,3.4142089999999996,False
921,491,3.4308629999999987,False
923,492,3.4475179999999988,False
927,491,3.464174,False
925,490,3.480827999999999,False
928,491,3.497482999999999,False
927,491,3.514137999999999,False
946,462,3.5307910000000007,False
948,469,3.5474460000000008,False
947,467,3.564101000000001,False
949,458,3.580755,False
925,500,3.59741,False
922,503,3.614065,False
924,497,3.630718999999999,False
929,493,3.6473739999999992,False
930,493,3.6640289999999993,False
933,499,3.6806839999999994,False
940,496,3.697338000000002,False
937,493,3.713993000000002,False
958,464,3.7306479999999986,False
962,464,3.7473020000000012,False
936,489,3.7639570000000013,False
933,501,3.7806120000000014,False
931,521,3.7972649999999994,False
911,559,3.8139199999999995,False
940,524,3.8305749999999996,False
870,596,3.8472289999999987,False
870,596,3.8638839999999988,False
772,860,3.88054,False
772,860,3.897193999999999,False
477,1468,3.913848999999999,False
477,1468,3.930503999999999,False
325,2072,3.947158999999999,False
325,2072,3.963813000000002,False
355,2001,3.980468000000002,True
386,1931,3.997122000000001,True
416,1860,4.013776,True
447,1790,4.030431,True
477,1719,4.047086,True
508,1649,4.063739999999999,True
539,1578,4.080394999999999,True
569,1508,4.097049999999999,True
600,1437,4.113704000000002,True
630,1367,4.130359000000002,True
661,1296,4.147013999999999,True
691,1226,4.163668000000001,True
722,1155,4.180323000000001,True
753,1085,4.196978000000001,True
783,1014,4.2136330000000015,True
814,944,4.230287000000001,True
844,873,4.246942000000001,True
875,803,4.263596,True
905,732,4.280251,True
936,662,4.296906,True
967,592,4.313561,False
936,626,4.330214999999999,False
931,604,4.346869999999999,False
929,584,4.363524999999999,False
921,512,4.380179000000002,False
925,531,4.396834000000002,False
932,534,4.413489000000002,False
928,527,4.430143000000001,False
923,529,4.446798000000001,False
930,533,4.463453000000001,False
933,531,4.480107,False
932,538,4.496760999999999,False
932,541,4.513415999999999,False
933,519,4.5300709999999995,False
939,484,4.546725000000002,False
943,489,4.563379999999999,False
940,493,4.580034999999999,False
941,486,4.596689000000001,False
942,486,4.613344000000001,False
944,491,4.6299990000000015,False
946,490,4.646653000000001,False
942,490,4.663308000000001,False
944,490,4.679964000000002,False
944,483,4.696618000000001,False
943,482,4.713273000000001,False
946,485,4.729928000000001,False
946,485,4.746583000000001,False
948,484,4.763237,False
944,481,4.779892,False
947,484,4.796547,False
951,489,4.813200999999999,False
946,476,4.8298559999999995,False
946,478,4.846511,False
950,493,4.863164999999999,False
950,492,4.879819999999999,False
949,494,4.896474999999999,False
952,491,4.913129000000001,False
953,478,4.9297840000000015,False
952,482,4.946439000000002,False
972,481,4.963093000000001,False
968,531,4.979748000000001,False
983,540,4.996403000000001,False
981,540,5.013058000000001,False
980,533,5.029712,False
979,533,5.046367,False
984,547,5.063022,False
985,547,5.079677,False
986,539,5.096332,False
985,540,5.112987,False
991,531,5.1296409999999995,False
991,532,5.1462959999999995,False
990,547,5.162951,False
989,547,5.179604999999999,False
986,538,5.196259999999999,False
986,540,5.212914999999999,False
988,536,5.2295690000000015,False
986,534,5.2462240000000016,False
983,539,5.262879000000002,False
982,540,5.279534000000002,False
986,540,5.296188000000001,False
987,538,5.312843000000001,False
985,537,5.329498000000001,False
986,539,5.346152,False
991,545,5.362807,False
990,545,5.379462,False
989,546,5.396115999999999,False
991,543,5.412770999999999,False
1063,423,5.429425999999999,False
985,481,5.446080000000002,False
951,526,5.462735000000002,False
947,525,5.479391,False
947,523,5.496044999999999,False
944,522,5.512699999999999,False
945,527,5.529354999999999,False
949,531,5.546009999999999,False
948,535,5.562664000000002,False
950,533,5.579319000000002,False
949,528,5.595974000000002,False
948,534,5.612628000000001,False
941,538,5.629283000000001,False
873,556,5.645938000000001,False
838,574,5.662592,False
839,571,5.679247,False
840,573,5.695902,False
845,579,5.712555999999999,False
846,575,5.729210999999999,False
842,573,5.7458659999999995,False
841,576,5.762520000000002,False
842,574,5.779175000000002,False
841,573,5.795829999999999,False
845,575,5.812484999999999,False
844,576,5.829139000000001,False
840,579,5.8457940000000015,False
836,578,5.862449000000002,False
834,577,5.879104000000002,False
838,581,5.895759000000002,False
840,584,5.912414000000002,False
866,554,5.929068000000001,False
865,547,5.945723000000001,False
877,539,5.962378000000001,False
985,544,5.979032,False
972,576,5.995687,False
966,568,6.012342,False
963,568,6.028995999999999,False
962,571,6.045650999999999,False
962,569,6.0623059999999995,False
961,568,6.078961,False
961,570,6.095614999999999,False
963,569,6.112269999999999,False
962,562,6.128924999999999,False
962,560,6.1455790000000015,False
963,563,6.1622340000000015,False
959,561,6.178889000000002,False
956,563,6.195543000000001,False
956,566,6.212198000000001,False
954,566,6.228853000000001,False
931,612,6.245507,False
984,605,6.262162,False
993,607,6.278817,False
996,605,6.295472,False
994,606,6.312127,False
985,600,6.328782,False
981,600,6.345437,False
987,611,6.3620909999999995,False
989,611,6.378746,False
1060,529,6.395401,False
1063,521,6.412054999999999,False
1063,527,6.428709999999999,False
1066,528,6.445364999999999,False
1032,566,6.4620190000000015,False
978,584,6.478674000000002,False
933,598,6.495329000000002,False
931,605,6.511983000000001,False
933,613,6.528638000000001,False
930,608,6.545293000000001,False
934,605,6.561947,False
937,607,6.578602,False
963,575,6.595257,False
960,571,6.611912,False
931,604,6.628565999999999,False
933,606,6.645220999999999,False
936,603,6.6618759999999995,False
923,604,6.678530000000002,False
896,582,6.695186,False
801,539,6.711841,False
829,512,6.728494999999999,False
829,512,6.745149999999999,False
806,547,6.761804999999999,False
805,545,6.778459000000002,False
806,543,6.795114000000002,False
805,542,6.811769000000002,False
805,544,6.828423000000001,False
804,546,6.845078000000001,False
801,543,6.861733000000001,False
801,541,6.878388000000001,False
802,546,6.895042,False
804,545,6.911697,False
807,546,6.928352,False
808,547,6.945005999999999,False
806,543,6.961660999999999,False
805,544,6.9783159999999995,False
805,545,6.994970000000002,False
807,548,7.011624999999999,False
804,545,7.028279999999999,False
817,546,7.044934000000001,False
860,519,7.0615890000000014,False
896,523,7.0782440000000015,False
867,560,7.094899000000002,False
865,559,7.111554000000002,False
871,555,7.128209000000002,False
875,555,7.144864000000002,False
870,560,7.161518000000001,False
869,562,7.178173000000001,False
869,560,7.194828000000001,False
866,558,7.211482,False
866,560,7.228137,False
865,561,7.244792,False
868,557,7.261445999999999,False
917,557,7.2781009999999995,False
953,558,7.294756,False
957,558,7.311409999999999,False
989,529,7.328064999999999,False
988,528,7.344719999999999,False
958,558,7.361374000000001,False
957,559,7.3780290000000015,False
951,558,7.394684000000002,False
950,558,7.411339000000002,False
959,559,7.427993000000001,False
963,562,7.444648000000001,False
959,566,7.461303000000001,False
955,566,7.477957,False
958,564,7.494613000000001,False
956,565,7.511268000000001,False
982,568,7.527922,False
975,611,7.544577,False
989,600,7.561232,False
990,604,7.5778859999999995,False
995,620,7.5945409999999995,False
996,618,7.611196,False
990,607,7.627849999999999,False
990,610,7.644504999999999,False
990,617,7.661159999999999,False
992,618,7.677814999999999,False
989,624,7.694469000000002,False
987,622,7.711124000000002,False
995,624,7.727779000000002,False
993,622,7.744433000000001,False
973,630,7.761088000000001,False
949,596,7.777743000000001,False
905,603,7.794397,False
911,607,7.811052,False
910,610,7.827707,False
909,614,7.844360999999999,False
911,614,7.861015999999999,False
912,609,7.877670999999999,False
912,611,7.8943259999999995,False
913,608,7.910981,False
910,598,7.927636,False
910,605,7.944291,False
912,616,7.960944999999999,False
909,611,7.977599999999999,False
911,602,7.994254999999999,False
912,598,8.010909000000002,False
