x,y,time_seconds,current_time,postID,screenshot_filename
894,641,63.969032,2024-06-21 16:01:25.692,8,screenshot_2024-06-21T16_01_43.png
880,648,63.985686,2024-06-21 16:01:25.707,8,screenshot_2024-06-21T16_01_43.png
865,655,64.002341,2024-06-21 16:01:25.723,8,screenshot_2024-06-21T16_01_43.png
851,662,64.018996,2024-06-21 16:01:25.739,8,screenshot_2024-06-21T16_01_43.png
836,669,64.03565,2024-06-21 16:01:25.766,8,screenshot_2024-06-21T16_01_43.png
822,677,64.052305,2024-06-21 16:01:25.770,8,screenshot_2024-06-21T16_01_43.png
911,420,64.068959,2024-06-21 16:01:25.802,8,screenshot_2024-06-21T16_01_43.png
983,550,64.085614,2024-06-21 16:01:25.817,8,screenshot_2024-06-21T16_01_43.png
974,525,64.102267,2024-06-21 16:01:25.833,8,screenshot_2024-06-21T16_01_43.png
976,491,64.118922,2024-06-21 16:01:25.849,8,screenshot_2024-06-21T16_01_43.png
962,464,64.135577,2024-06-21 16:01:25.866,8,screenshot_2024-06-21T16_01_43.png
957,455,64.152231,2024-06-21 16:01:25.881,8,screenshot_2024-06-21T16_01_43.png
970,487,64.168886,2024-06-21 16:01:25.902,8,screenshot_2024-06-21T16_01_43.png
973,494,64.18554,2024-06-21 16:01:25.913,8,screenshot_2024-06-21T16_01_43.png
974,443,64.202194,2024-06-21 16:01:25.929,8,screenshot_2024-06-21T16_01_43.png
978,357,64.218849,2024-06-21 16:01:25.945,8,screenshot_2024-06-21T16_01_43.png
954,398,64.235504,2024-06-21 16:01:25.966,8,screenshot_2024-06-21T16_01_43.png
931,440,64.25215800000001,2024-06-21 16:01:25.977,8,screenshot_2024-06-21T16_01_43.png
907,482,64.268812,2024-06-21 16:01:25.993,8,screenshot_2024-06-21T16_01_43.png
884,524,64.285467,2024-06-21 16:01:26.008,8,screenshot_2024-06-21T16_01_43.png
861,566,64.30212,2024-06-21 16:01:26.024,8,screenshot_2024-06-21T16_01_43.png
837,608,64.318775,2024-06-21 16:01:26.040,8,screenshot_2024-06-21T16_01_43.png
814,650,64.33543,2024-06-21 16:01:26.067,8,screenshot_2024-06-21T16_01_43.png
790,692,64.352085,2024-06-21 16:01:26.071,8,screenshot_2024-06-21T16_01_43.png
767,734,64.368739,2024-06-21 16:01:26.087,8,screenshot_2024-06-21T16_01_43.png
744,776,64.385394,2024-06-21 16:01:26.118,8,screenshot_2024-06-21T16_01_43.png
763,316,64.402049,2024-06-21 16:01:26.134,8,screenshot_2024-06-21T16_01_43.png
762,297,64.41870200000001,2024-06-21 16:01:26.150,8,screenshot_2024-06-21T16_01_43.png
798,367,64.435356,2024-06-21 16:01:26.167,8,screenshot_2024-06-21T16_01_43.png
805,372,64.452011,2024-06-21 16:01:26.181,8,screenshot_2024-06-21T16_01_43.png
811,402,64.468665,2024-06-21 16:01:26.197,8,screenshot_2024-06-21T16_01_43.png
814,408,64.48532,2024-06-21 16:01:26.213,8,screenshot_2024-06-21T16_01_43.png
812,405,64.501975,2024-06-21 16:01:26.228,8,screenshot_2024-06-21T16_01_43.png
809,392,64.518629,2024-06-21 16:01:26.244,8,screenshot_2024-06-21T16_01_43.png
805,397,64.535283,2024-06-21 16:01:26.268,8,screenshot_2024-06-21T16_01_43.png
808,398,64.551938,2024-06-21 16:01:26.276,8,screenshot_2024-06-21T16_01_43.png
802,393,64.56859200000001,2024-06-21 16:01:26.292,8,screenshot_2024-06-21T16_01_43.png
796,394,64.58524700000001,2024-06-21 16:01:26.307,8,screenshot_2024-06-21T16_01_43.png
800,390,64.601901,2024-06-21 16:01:26.323,8,screenshot_2024-06-21T16_01_43.png
800,396,64.618556,2024-06-21 16:01:26.338,8,screenshot_2024-06-21T16_01_43.png
802,398,64.63521,2024-06-21 16:01:26.370,8,screenshot_2024-06-21T16_01_43.png
804,397,64.651864,2024-06-21 16:01:26.386,8,screenshot_2024-06-21T16_01_43.png
808,407,64.668519,2024-06-21 16:01:26.402,8,screenshot_2024-06-21T16_01_43.png
813,406,64.685173,2024-06-21 16:01:26.417,8,screenshot_2024-06-21T16_01_43.png
811,404,64.701828,2024-06-21 16:01:26.433,8,screenshot_2024-06-21T16_01_43.png
804,403,64.718483,2024-06-21 16:01:26.448,8,screenshot_2024-06-21T16_01_43.png
805,409,64.735136,2024-06-21 16:01:26.469,8,screenshot_2024-06-21T16_01_43.png
804,403,64.751791,2024-06-21 16:01:26.480,8,screenshot_2024-06-21T16_01_43.png
800,420,64.768446,2024-06-21 16:01:26.496,8,screenshot_2024-06-21T16_01_43.png
839,520,64.785099,2024-06-21 16:01:26.512,8,screenshot_2024-06-21T16_01_43.png
888,607,64.801754,2024-06-21 16:01:26.527,8,screenshot_2024-06-21T16_01_43.png
897,631,64.818409,2024-06-21 16:01:26.543,8,screenshot_2024-06-21T16_01_43.png
894,632,64.835063,2024-06-21 16:01:26.569,8,screenshot_2024-06-21T16_01_43.png
887,625,64.851718,2024-06-21 16:01:26.574,8,screenshot_2024-06-21T16_01_43.png
886,623,64.86837200000001,2024-06-21 16:01:26.590,8,screenshot_2024-06-21T16_01_43.png
895,629,64.88502700000001,2024-06-21 16:01:26.606,8,screenshot_2024-06-21T16_01_43.png
894,635,64.90168100000001,2024-06-21 16:01:26.622,8,screenshot_2024-06-21T16_01_43.png
894,630,64.91833600000001,2024-06-21 16:01:26.637,8,screenshot_2024-06-21T16_01_43.png
888,621,64.93499,2024-06-21 16:01:26.669,8,screenshot_2024-06-21T16_01_43.png
884,620,64.951644,2024-06-21 16:01:26.685,8,screenshot_2024-06-21T16_01_43.png
