x,y,time_seconds
487,244,5.911526
487,236,5.928182
489,238,5.944837
488,240,5.961491
491,244,5.978146
490,247,5.994801
493,250,6.011455
492,245,6.028111
505,250,6.044766
585,240,6.06142
1032,200,6.078075
1271,215,6.09473
1324,224,6.111384
1325,224,6.12804
1328,221,6.144695
1329,217,6.16135
1325,223,6.178004
1324,239,6.194659
1329,238,6.211315
1318,235,6.227969
1313,234,6.244624
1317,238,6.261279
1356,249,6.277933
1372,253,6.294588
1358,251,6.311244
1356,249,6.327898
1357,244,6.344553
1356,253,6.361208
1351,260,6.377862
1357,256,6.394517
1354,260,6.411173
1349,254,6.427828
1358,247,6.444482
1355,250,6.461137
1352,259,6.477792
1353,264,6.494446
1312,264,6.511102
1225,256,6.527757
593,253,6.544411
593,253,6.561066
292,330,6.577721
302,301,6.594375
296,288,6.611031
298,291,6.627686
300,292,6.64434
295,293,6.660995
288,296,6.67765
296,295,6.694305
304,292,6.71096
293,290,6.727615
288,294,6.74427
280,289,6.760924
269,284,6.777579
274,289,6.794234
269,285,6.810889
268,279,6.827544
274,277,6.844199
276,281,6.860853
277,283,6.877508
276,280,6.894163
273,286,6.910818
274,286,6.927473
270,282,6.944128
267,279,6.960783
264,275,6.977437
268,277,6.994092
269,281,7.010748
268,272,7.027402
273,264,7.044057
277,272,7.060712
284,277,7.077366
289,272,7.094021
296,266,7.110677
292,255,7.127331
422,264,7.143986
424,274,7.160641
424,273,7.177295
430,273,7.19395
425,274,7.210606
421,272,7.227261
427,271,7.243914
422,271,7.260569
420,272,7.277223
419,274,7.293877
416,325,7.310533
416,346,7.327187
424,356,7.343841
432,367,7.360495
440,377,7.37715
448,388,7.393803
456,398,7.410459
464,409,7.427114
472,419,7.443767
480,430,7.460422
488,441,7.477076
499,397,7.493731
483,398,7.510385
485,414,7.52704
502,406,7.543694
505,417,7.560348
506,355,7.577002
501,350,7.593657
494,332,7.610311
491,333,7.626966
486,315,7.64362
486,315,7.660274
654,301,7.676929
654,284,7.693583
650,271,7.710237
