x,y,time_seconds
1160,765,5.693388
1166,786,5.710044
1166,786,5.726699
1179,745,5.743353
1179,745,5.760008
1174,765,5.776663
1161,749,5.793317
1171,756,5.809972
1171,759,5.826627
1168,759,5.843281
1170,766,5.859936
1155,786,5.876591
1154,788,5.893246
1159,791,5.9099
1158,793,5.926555
1168,799,5.94321
1170,800,5.959864
1162,798,5.976519
1163,797,5.993175
1161,788,6.009829
1162,787,6.026484
1157,789,6.043139
1157,788,6.059793
1172,792,6.076448
1171,791,6.093103
1162,777,6.109757
1163,776,6.126412
1166,788,6.143067
1165,787,6.159722
1157,774,6.176376
1157,772,6.193031
1158,774,6.209686
1157,770,6.22634
1154,752,6.242995
1149,770,6.259651
1138,763,6.276305
1047,638,6.29296
1097,657,6.309615
717,533,6.326269
717,533,6.342924
750,535,6.359579
747,591,6.376233
751,582,6.392888
748,574,6.409543
751,580,6.426198
737,570,6.442852
734,569,6.459507
741,561,6.476162
742,557,6.492816
740,581,6.509471
736,563,6.526126
735,566,6.542781
740,597,6.559436
766,540,6.576091
750,551,6.592745
735,562,6.6094
720,574,6.626055
720,574,6.642709
712,581,6.659364
712,581,6.676019
685,585,6.692674
680,594,6.709328
677,596,6.725983
673,598,6.742638
677,607,6.759292
676,607,6.775947
672,611,6.792602
682,617,6.809257
682,618,6.825912
679,614,6.842567
687,626,6.859221
687,624,6.875876
680,623,6.892531
686,629,6.909185
695,626,6.92584
690,622,6.942495
682,629,6.95915
684,634,6.975804
685,628,6.992459
688,628,7.009114
694,638,7.025768
694,641,7.042423
686,636,7.059078
684,635,7.075732
689,644,7.092388
690,646,7.109043
685,637,7.125697
683,637,7.142352
680,631,7.159007
676,628,7.175661
676,633,7.192316
682,638,7.208971
869,652,7.225626
967,629,7.24228
1101,633,7.258935
1108,635,7.27559
1100,636,7.292244
1096,631,7.308899
1102,635,7.325554
1101,641,7.342207
1096,642,7.358863
1096,638,7.375518
1093,638,7.392172
1091,638,7.408827
1094,641,7.425482
1094,641,7.442136
1093,642,7.458791
1089,645,7.475446
1083,646,7.492101
1086,644,7.508755
1086,649,7.52541
1124,685,7.542064
1111,687,7.558718
1213,856,7.575373
1187,848,7.592028
1180,839,7.608682
1181,838,7.625337
1185,832,7.641993
1187,835,7.658647
1180,822,7.675302
1179,817,7.691957
1181,825,7.70861
1182,824,7.725265
1177,823,7.74192
1178,824,7.758575
1185,820,7.775229
1189,821,7.791884
1258,813,7.808539
1286,820,7.825193
1337,795,7.841848
1373,791,7.858503
1372,780,7.875157
1372,780,7.891812
1372,778,7.908467
1372,778,7.925121
1370,774,7.941776
1370,774,7.958431
1379,772,7.975085
1379,772,7.99174
1374,765,8.008395
1374,765,8.02505
1416,778,8.041704
1386,782,8.058359
1389,781,8.075014
1390,780,8.091667
1387,775,8.108322
1390,776,8.124977
1397,776,8.141631
1398,776,8.158286
1400,772,8.174941
1404,770,8.191596
1395,773,8.208251
1393,773,8.224905
1395,766,8.241559
1393,766,8.258214
1392,778,8.274869
1392,778,8.291524
1391,759,8.308178
1406,743,8.324833
1410,748,8.341488
1410,748,8.358142
1407,746,8.374797
1406,744,8.391452
1413,757,8.408106
1412,759,8.424761
1405,749,8.441416
1406,749,8.45807
1409,740,8.474725
1407,741,8.49138
1408,746,8.508034
1410,747,8.524689
1408,741,8.541344
1408,740,8.557999
1410,741,8.574652
1411,739,8.591307
1419,740,8.607962
1423,740,8.624616
1409,725,8.641271
1411,726,8.657926
1419,733,8.67458
1425,735,8.691235
1435,758,8.70789
1433,764,8.724544
1430,769,8.7412
1432,764,8.757854
1418,755,8.774508
1416,752,8.791163
1432,749,8.807818
1436,750,8.824473
1435,747,8.841127
1437,742,8.857782
1430,730,8.874437
1423,747,8.891091
1425,743,8.907746
1425,743,8.924401
1405,720,8.941054
1405,720,8.957709
1404,665,8.974364
1404,665,8.991018
1399,679,9.007674
1413,668,9.024328
1406,666,9.040982
1406,661,9.057637
1410,683,9.074292
1406,691,9.090947
1407,702,9.107602
1399,722,9.124256
1399,682,9.140911
1399,682,9.157565
1271,618,9.17422
1271,618,9.190875
1421,807,9.207529
1572,997,9.224184
1572,997,9.240839
1505,937,9.257493
1438,877,9.274148
1428,864,9.290803
1432,865,9.307457
1432,867,9.324112
1424,864,9.340767
1421,864,9.357421
1565,1053,9.374075
1564,1051,9.39073
1424,869,9.407385
1420,872,9.424039
1417,883,9.440694
1411,884,9.457349
1409,871,9.474003
1433,878,9.490658
1542,854,9.507313
1652,831,9.523967
1531,800,9.540622
1398,764,9.557277
1397,761,9.573931
1398,761,9.590586
1398,760,9.607241
1396,759,9.623896
1383,753,9.64055
1378,754,9.657205
1397,766,9.67386
1399,765,9.690513
1396,767,9.707168
1402,764,9.723823
1401,760,9.740477
1402,760,9.757132
1416,769,9.773787
1416,774,9.790441
1408,782,9.807096
1410,782,9.823751
1413,784,9.840405
1413,784,9.85706
1412,785,9.873715
1411,782,9.890369
1413,772,9.907023
1413,772,9.923678
1409,773,9.940334
1406,770,9.956988
1415,768,9.973643
1415,767,9.990298
1412,765,10.006952
1414,763,10.023607
1410,771,10.040261
1410,772,10.056915
1403,766,10.07357
1409,767,10.090225
1407,766,10.106879
1402,762,10.123534
1405,750,10.140189
1409,753,10.156844
1407,752,10.173498
1404,755,10.190153
1413,753,10.206808
1412,756,10.223461
1406,765,10.240116
1410,765,10.256771
1412,761,10.273425
1412,760,10.29008
1406,765,10.306735
1405,763,10.323389
1412,762,10.340044
1412,761,10.3567
1408,759,10.373353
1408,760,10.390008
1405,750,10.406663
1404,752,10.423318
1405,772,10.439972
1408,782,10.456627
1407,788,10.473282
1409,785,10.489936
1414,773,10.506591
1412,773,10.523246
1411,773,10.5399
1412,770,10.556555
1410,757,10.57321
1407,756,10.589864
1408,765,10.606519
1415,760,10.623174
1418,767,10.639828
1413,758,10.656483
1411,719,10.673138
1410,716,10.689793
1414,726,10.706447
1415,726,10.723102
1411,720,10.739757
1411,717,10.756411
1414,721,10.773067
1415,720,10.789722
1417,710,10.806376
1417,709,10.823031
1413,711,10.839686
1414,710,10.85634
1415,713,10.872995
1410,716,10.88965
1399,733,10.906304
1407,765,10.922959
1234,776,10.939614
1288,821,10.956269
1091,906,10.972923
857,972,10.989578
830,973,11.006233
839,979,11.022887
835,984,11.039542
832,993,11.056197
837,996,11.072851
840,1002,11.089506
840,999,11.106161
835,999,11.122815
839,999,11.13947
845,995,11.156125
844,995,11.172779
842,994,11.189435
843,993,11.20609
842,996,11.222745
841,994,11.239399
892,991,11.256054
1075,992,11.272709
1162,989,11.289363
1216,1002,11.306018
1208,1003,11.322673
1204,1009,11.339327
1204,1009,11.355982
1203,1002,11.372637
1200,993,11.389291
1202,996,11.405946
1206,995,11.422601
1196,994,11.439255
1168,995,11.45591
1162,998,11.472565
1165,997,11.48922
1161,1003,11.505874
1159,1000,11.522529
1158,992,11.539184
1159,994,11.555838
1154,995,11.572493
1155,994,11.589148
1161,993,11.605803
1133,991,11.622458
1157,1006,11.639113
999,977,11.655767
898,931,11.672422
798,885,11.689077
697,839,11.705731
597,793,11.722386
496,747,11.739041
396,701,11.755696
296,656,11.77235
358,616,11.789005
411,582,11.80566
404,609,11.822314
395,613,11.838969
401,602,11.855624
401,569,11.872278
402,549,11.888933
404,579,11.905588
403,585,11.922242
414,489,11.938897
444,524,11.955552
467,553,11.972206
464,549,11.988861
463,540,12.005516
443,546,12.022172
445,555,12.038826
258,610,12.055481
258,610,12.072136
263,610,12.08879
262,609,12.105445
264,610,12.1221
265,610,12.138754
274,613,12.155409
271,612,12.172064
267,612,12.188718
282,610,12.205373
319,627,12.222028
319,630,12.238682
319,630,12.255337
317,628,12.271992
320,629,12.288647
324,634,12.305301
325,636,12.321956
330,639,12.338611
330,645,12.355265
331,646,12.37192
336,647,12.388575
318,649,12.405229
214,650,12.421884
207,652,12.43854
217,660,12.455194
215,660,12.471849
217,665,12.488504
219,664,12.505158
221,666,12.521813
215,668,12.538468
205,660,12.555123
209,656,12.571777
209,662,12.588432
209,666,12.605087
208,667,12.621741
207,663,12.638396
205,653,12.655051
201,653,12.671705
194,652,12.68836
186,656,12.705015
184,655,12.721669
190,646,12.738324
188,645,12.754979
184,643,12.771633
193,641,12.788288
