time_seconds,current_time,x,y
0.0,2024-05-27T21:26:10.883Z,976,632
0.016654999999999975,2024-05-27T21:26:10.883Z,924,683
0.03330899999999992,2024-05-27T21:26:10.883Z,934,671
0.04996199999999995,2024-05-27T21:26:10.883Z,992,612
0.06661499999999998,2024-05-27T21:26:10.883Z,923,603
0.08326800000000001,2024-05-27T21:26:10.883Z,870,631
0.09992099999999993,2024-05-27T21:26:10.883Z,827,589
0.11657499999999998,2024-05-27T21:26:10.883Z,846,528
0.13322899999999993,2024-05-27T21:26:10.883Z,838,508
0.14988199999999996,2024-05-27T21:26:10.883Z,814,539
0.16653600000000002,2024-05-27T21:26:10.883Z,808,545
0.183195,2024-05-27T21:26:10.883Z,818,573
0.19985200000000003,2024-05-27T21:26:10.883Z,817,578
0.21650999999999998,2024-05-27T21:26:10.883Z,818,582
0.23316399999999993,2024-05-27T21:26:10.883Z,824,582
0.24981699999999996,2024-05-27T21:26:10.883Z,822,578
0.26647199999999993,2024-05-27T21:26:10.883Z,825,580
0.283126,2024-05-27T21:26:10.883Z,826,582
0.29978099999999996,2024-05-27T21:26:10.883Z,822,585
0.316435,2024-05-27T21:26:10.883Z,824,593
0.333091,2024-05-27T21:26:10.883Z,826,586
0.349746,2024-05-27T21:26:10.883Z,820,551
0.36639900000000003,2024-05-27T21:26:10.883Z,821,562
0.3830549999999999,2024-05-27T21:26:10.883Z,821,566
0.399709,2024-05-27T21:26:10.883Z,841,580
0.4163629999999999,2024-05-27T21:26:10.883Z,858,592
0.433017,2024-05-27T21:26:10.883Z,932,628
0.44967099999999993,2024-05-27T21:26:10.883Z,928,654
0.4663249999999999,2024-05-27T21:26:10.883Z,922,657
0.48297900000000005,2024-05-27T21:26:10.883Z,923,660
0.499633,2024-05-27T21:26:10.883Z,927,657
0.5162869999999999,2024-05-27T21:26:10.883Z,922,655
0.5329409999999999,2024-05-27T21:26:10.883Z,920,662
0.549596,2024-05-27T21:26:10.883Z,925,658
0.5662499999999999,2024-05-27T21:26:10.883Z,924,659
0.5829039999999999,2024-05-27T21:26:10.884Z,929,641
0.599558,2024-05-27T21:26:10.884Z,929,638
0.6162129999999999,2024-05-27T21:26:10.884Z,924,667
0.6328659999999999,2024-05-27T21:26:10.884Z,926,670
0.649521,2024-05-27T21:26:10.884Z,926,660
0.666175,2024-05-27T21:26:10.884Z,925,657
0.6828289999999999,2024-05-27T21:26:10.884Z,954,633
0.699484,2024-05-27T21:26:10.884Z,954,638
0.7161390000000001,2024-05-27T21:26:10.884Z,922,660
0.7327919999999999,2024-05-27T21:26:10.884Z,933,657
0.749447,2024-05-27T21:26:10.884Z,935,658
0.7661009999999999,2024-05-27T21:26:10.884Z,930,654
0.7827549999999999,2024-05-27T21:26:10.884Z,935,659
0.799409,2024-05-27T21:26:10.884Z,942,664
0.8160639999999999,2024-05-27T21:26:10.884Z,944,641
0.832719,2024-05-27T21:26:10.884Z,932,645
0.849372,2024-05-27T21:26:10.884Z,932,662
0.8660269999999999,2024-05-27T21:26:10.884Z,929,685
0.882681,2024-05-27T21:26:10.884Z,929,673
0.899335,2024-05-27T21:26:10.884Z,929,656
0.9159889999999999,2024-05-27T21:26:10.884Z,957,609
0.932644,2024-05-27T21:26:10.884Z,955,603
0.9492970000000001,2024-05-27T21:26:10.884Z,921,652
0.9659519999999999,2024-05-27T21:26:10.884Z,920,644
0.982607,2024-05-27T21:26:10.884Z,953,588
0.999261,2024-05-27T21:26:10.884Z,940,619
1.015916,2024-05-27T21:26:10.884Z,928,650
1.03257,2024-05-27T21:26:10.884Z,916,681
1.049224,2024-05-27T21:26:10.884Z,904,712
1.065879,2024-05-27T21:26:10.884Z,892,743
1.0825339999999999,2024-05-27T21:26:10.884Z,880,774
1.099188,2024-05-27T21:26:10.884Z,868,805
1.115842,2024-05-27T21:26:10.884Z,868,805
1.132498,2024-05-27T21:26:10.884Z,950,699
1.149152,2024-05-27T21:26:10.884Z,950,699
1.165806,2024-05-27T21:26:10.884Z,944,711
1.18246,2024-05-27T21:26:10.884Z,914,724
1.199116,2024-05-27T21:26:10.884Z,914,672
1.21577,2024-05-27T21:26:10.884Z,916,671
1.232424,2024-05-27T21:26:10.884Z,914,626
1.249079,2024-05-27T21:26:10.884Z,944,593
1.265733,2024-05-27T21:26:10.884Z,942,571
1.282388,2024-05-27T21:26:10.884Z,942,571
1.299043,2024-05-27T21:26:10.884Z,948,568
1.315696,2024-05-27T21:26:10.884Z,948,568
1.332352,2024-05-27T21:26:10.884Z,934,565
1.349007,2024-05-27T21:26:10.884Z,929,582
1.365661,2024-05-27T21:26:10.884Z,933,577
1.382315,2024-05-27T21:26:10.884Z,937,589
1.39897,2024-05-27T21:26:10.884Z,932,589
1.415624,2024-05-27T21:26:10.884Z,933,558
1.4322780000000002,2024-05-27T21:26:10.884Z,945,569
1.448932,2024-05-27T21:26:10.885Z,949,589
1.4655870000000002,2024-05-27T21:26:10.885Z,951,584
1.4822410000000001,2024-05-27T21:26:10.885Z,939,588
1.498895,2024-05-27T21:26:10.885Z,929,589
1.5155500000000002,2024-05-27T21:26:10.885Z,936,590
1.5322040000000001,2024-05-27T21:26:10.885Z,935,587
1.548858,2024-05-27T21:26:10.885Z,934,561
1.5655130000000002,2024-05-27T21:26:10.885Z,942,559
1.582166,2024-05-27T21:26:10.885Z,939,584
1.598821,2024-05-27T21:26:10.885Z,935,589
1.6154760000000001,2024-05-27T21:26:10.885Z,940,578
1.63213,2024-05-27T21:26:10.885Z,939,572
1.648784,2024-05-27T21:26:10.885Z,903,625
1.6654390000000001,2024-05-27T21:26:10.885Z,900,625
1.682093,2024-05-27T21:26:10.885Z,930,584
1.698747,2024-05-27T21:26:10.885Z,939,586
1.715401,2024-05-27T21:26:10.885Z,946,560
1.732056,2024-05-27T21:26:10.885Z,944,562
1.74871,2024-05-27T21:26:10.885Z,937,580
1.765364,2024-05-27T21:26:10.885Z,931,574
1.782019,2024-05-27T21:26:10.885Z,931,580
1.798673,2024-05-27T21:26:10.885Z,936,581
1.815327,2024-05-27T21:26:10.885Z,937,576
1.8319830000000001,2024-05-27T21:26:10.885Z,934,581
1.848636,2024-05-27T21:26:10.885Z,932,577
1.8652920000000002,2024-05-27T21:26:10.885Z,932,572
1.8819469999999998,2024-05-27T21:26:10.885Z,936,575
1.898602,2024-05-27T21:26:10.885Z,937,572
1.9152559999999998,2024-05-27T21:26:10.885Z,932,572
1.931912,2024-05-27T21:26:10.885Z,932,571
1.948566,2024-05-27T21:26:10.885Z,885,584
1.965221,2024-05-27T21:26:10.885Z,889,582
1.981875,2024-05-27T21:26:10.885Z,932,566
1.9985309999999998,2024-05-27T21:26:10.885Z,899,503
2.015186,2024-05-27T21:26:10.885Z,872,530
2.03184,2024-05-27T21:26:10.885Z,879,560
2.048496,2024-05-27T21:26:10.885Z,935,495
2.06515,2024-05-27T21:26:10.885Z,904,478
2.081805,2024-05-27T21:26:10.885Z,905,499
2.098461,2024-05-27T21:26:10.885Z,901,496
2.115115,2024-05-27T21:26:10.885Z,899,474
2.13177,2024-05-27T21:26:10.885Z,908,468
2.148425,2024-05-27T21:26:10.885Z,904,492
2.16508,2024-05-27T21:26:10.885Z,906,496
2.1817349999999998,2024-05-27T21:26:10.885Z,872,501
2.19839,2024-05-27T21:26:10.885Z,879,523
2.215046,2024-05-27T21:26:10.885Z,920,502
2.2317,2024-05-27T21:26:10.885Z,934,539
2.248355,2024-05-27T21:26:10.885Z,934,539
2.26501,2024-05-27T21:26:10.885Z,942,551
2.281665,2024-05-27T21:26:10.885Z,942,577
2.29832,2024-05-27T21:26:10.885Z,939,576
2.314976,2024-05-27T21:26:10.885Z,936,570
2.33163,2024-05-27T21:26:10.885Z,936,575
2.348285,2024-05-27T21:26:10.885Z,943,573
2.364941,2024-05-27T21:26:10.885Z,943,571
2.381595,2024-05-27T21:26:10.885Z,939,578
2.398251,2024-05-27T21:26:10.885Z,938,583
2.4149059999999998,2024-05-27T21:26:10.885Z,938,558
2.431561,2024-05-27T21:26:10.885Z,943,556
2.448216,2024-05-27T21:26:10.885Z,913,592
2.464871,2024-05-27T21:26:10.885Z,912,593
2.481527,2024-05-27T21:26:10.885Z,939,558
2.498182,2024-05-27T21:26:10.885Z,944,560
2.514837,2024-05-27T21:26:10.885Z,945,587
2.531492,2024-05-27T21:26:10.885Z,947,589
2.548147,2024-05-27T21:26:10.885Z,948,586
2.564802,2024-05-27T21:26:10.885Z,942,577
2.581458,2024-05-27T21:26:10.885Z,936,554
2.598113,2024-05-27T21:26:10.885Z,951,559
2.6147679999999998,2024-05-27T21:26:10.885Z,928,615
2.631422,2024-05-27T21:26:10.885Z,925,620
2.648076,2024-05-27T21:26:10.885Z,948,589
2.664731,2024-05-27T21:26:10.885Z,971,586
2.681386,2024-05-27T21:26:10.886Z,977,587
2.698041,2024-05-27T21:26:10.886Z,953,583
2.714695,2024-05-27T21:26:10.886Z,952,575
2.731349,2024-05-27T21:26:10.886Z,949,573
2.748004,2024-05-27T21:26:10.886Z,922,605
2.764658,2024-05-27T21:26:10.886Z,923,606
2.781313,2024-05-27T21:26:10.886Z,952,582
2.797968,2024-05-27T21:26:10.886Z,954,576
2.814622,2024-05-27T21:26:10.886Z,959,557
2.831276,2024-05-27T21:26:10.886Z,963,544
2.847931,2024-05-27T21:26:10.886Z,966,522
2.864585,2024-05-27T21:26:10.886Z,951,547
2.88124,2024-05-27T21:26:10.886Z,956,569
2.897895,2024-05-27T21:26:10.886Z,960,574
2.914549,2024-05-27T21:26:10.886Z,959,574
2.931203,2024-05-27T21:26:10.886Z,958,571
2.947858,2024-05-27T21:26:10.886Z,957,568
2.964513,2024-05-27T21:26:10.886Z,956,567
