x,y,time_seconds,current_time,postID,screenshot_filename
996,696,0.205,2024-06-21 19:38:09.227,4,screenshot_2024-06-21T19_38_24.png
962,673,0.22166599999999997,2024-06-21 19:38:09.243,4,screenshot_2024-06-21T19_38_24.png
948,658,0.23832299999999998,2024-06-21 19:38:09.259,4,screenshot_2024-06-21T19_38_24.png
950,635,0.254976,2024-06-21 19:38:09.275,4,screenshot_2024-06-21T19_38_24.png
945,627,0.271629,2024-06-21 19:38:09.290,4,screenshot_2024-06-21T19_38_24.png
944,625,0.288282,2024-06-21 19:38:09.306,4,screenshot_2024-06-21T19_38_24.png
940,626,0.30494299999999996,2024-06-21 19:38:09.321,4,screenshot_2024-06-21T19_38_24.png
922,618,0.32160299999999997,2024-06-21 19:38:09.342,4,screenshot_2024-06-21T19_38_24.png
889,578,0.338264,2024-06-21 19:38:09.353,4,screenshot_2024-06-21T19_38_24.png
851,503,0.35491799999999996,2024-06-21 19:38:09.369,4,screenshot_2024-06-21T19_38_24.png
847,516,0.3715709999999999,2024-06-21 19:38:09.384,4,screenshot_2024-06-21T19_38_24.png
850,513,0.3882249999999999,2024-06-21 19:38:09.400,4,screenshot_2024-06-21T19_38_24.png
853,510,0.4048809999999999,2024-06-21 19:38:09.416,4,screenshot_2024-06-21T19_38_24.png
850,510,0.42154,2024-06-21 19:38:09.442,4,screenshot_2024-06-21T19_38_24.png
852,507,0.438199,2024-06-21 19:38:09.447,4,screenshot_2024-06-21T19_38_24.png
846,510,0.45485699999999996,2024-06-21 19:38:09.463,4,screenshot_2024-06-21T19_38_24.png
848,514,0.471511,2024-06-21 19:38:09.494,4,screenshot_2024-06-21T19_38_24.png
867,490,0.48816499999999996,2024-06-21 19:38:09.510,4,screenshot_2024-06-21T19_38_24.png
892,454,0.5048199999999999,2024-06-21 19:38:09.526,4,screenshot_2024-06-21T19_38_24.png
907,426,0.521482,2024-06-21 19:38:09.542,4,screenshot_2024-06-21T19_38_24.png
912,426,0.538144,2024-06-21 19:38:09.557,4,screenshot_2024-06-21T19_38_24.png
915,428,0.554809,2024-06-21 19:38:09.573,4,screenshot_2024-06-21T19_38_24.png
912,428,0.571465,2024-06-21 19:38:09.588,4,screenshot_2024-06-21T19_38_24.png
911,424,0.588119,2024-06-21 19:38:09.604,4,screenshot_2024-06-21T19_38_24.png
863,407,0.604775,2024-06-21 19:38:09.620,4,screenshot_2024-06-21T19_38_24.png
723,332,0.621432,2024-06-21 19:38:09.642,4,screenshot_2024-06-21T19_38_24.png
641,256,0.638095,2024-06-21 19:38:09.652,4,screenshot_2024-06-21T19_38_24.png
631,225,0.654759,2024-06-21 19:38:09.668,4,screenshot_2024-06-21T19_38_24.png
636,233,0.671422,2024-06-21 19:38:09.684,4,screenshot_2024-06-21T19_38_24.png
636,236,0.688078,2024-06-21 19:38:09.699,4,screenshot_2024-06-21T19_38_24.png
630,226,0.7047329999999999,2024-06-21 19:38:09.715,4,screenshot_2024-06-21T19_38_24.png
631,225,0.721389,2024-06-21 19:38:09.742,4,screenshot_2024-06-21T19_38_24.png
641,224,0.738049,2024-06-21 19:38:09.762,4,screenshot_2024-06-21T19_38_24.png
640,220,0.7547109999999999,2024-06-21 19:38:09.778,4,screenshot_2024-06-21T19_38_24.png
642,223,0.771373,2024-06-21 19:38:09.796,4,screenshot_2024-06-21T19_38_24.png
642,225,0.788033,2024-06-21 19:38:09.810,4,screenshot_2024-06-21T19_38_24.png
631,216,0.804688,2024-06-21 19:38:09.825,4,screenshot_2024-06-21T19_38_24.png
632,215,0.821345,2024-06-21 19:38:09.842,4,screenshot_2024-06-21T19_38_24.png
633,213,0.838001,2024-06-21 19:38:09.857,4,screenshot_2024-06-21T19_38_24.png
635,201,0.8546549999999999,2024-06-21 19:38:09.873,4,screenshot_2024-06-21T19_38_24.png
638,184,0.871311,2024-06-21 19:38:09.889,4,screenshot_2024-06-21T19_38_24.png
642,183,0.8879659999999999,2024-06-21 19:38:09.904,4,screenshot_2024-06-21T19_38_24.png
637,179,0.9046219999999999,2024-06-21 19:38:09.920,4,screenshot_2024-06-21T19_38_24.png
639,179,0.9212779999999999,2024-06-21 19:38:09.943,4,screenshot_2024-06-21T19_38_24.png
645,178,0.937935,2024-06-21 19:38:09.952,4,screenshot_2024-06-21T19_38_24.png
644,176,0.954592,2024-06-21 19:38:09.968,4,screenshot_2024-06-21T19_38_24.png
651,182,0.971251,2024-06-21 19:38:09.983,4,screenshot_2024-06-21T19_38_24.png
650,182,0.987911,2024-06-21 19:38:10.005,4,screenshot_2024-06-21T19_38_24.png
632,176,1.004571,2024-06-21 19:38:10.021,4,screenshot_2024-06-21T19_38_24.png
631,175,1.02123,2024-06-21 19:38:10.043,4,screenshot_2024-06-21T19_38_24.png
638,176,1.03789,2024-06-21 19:38:10.062,4,screenshot_2024-06-21T19_38_24.png
641,179,1.05455,2024-06-21 19:38:10.078,4,screenshot_2024-06-21T19_38_24.png
622,184,1.071206,2024-06-21 19:38:10.094,4,screenshot_2024-06-21T19_38_24.png
601,183,1.087863,2024-06-21 19:38:10.110,4,screenshot_2024-06-21T19_38_24.png
604,188,1.1045200000000002,2024-06-21 19:38:10.126,4,screenshot_2024-06-21T19_38_24.png
606,188,1.121175,2024-06-21 19:38:10.143,4,screenshot_2024-06-21T19_38_24.png
611,185,1.137832,2024-06-21 19:38:10.158,4,screenshot_2024-06-21T19_38_24.png
613,184,1.154489,2024-06-21 19:38:10.173,4,screenshot_2024-06-21T19_38_24.png
612,173,1.171144,2024-06-21 19:38:10.189,4,screenshot_2024-06-21T19_38_24.png
607,169,1.1878,2024-06-21 19:38:10.204,4,screenshot_2024-06-21T19_38_24.png
609,169,1.204456,2024-06-21 19:38:10.220,4,screenshot_2024-06-21T19_38_24.png
609,169,1.221111,2024-06-21 19:38:10.243,4,screenshot_2024-06-21T19_38_24.png
606,175,1.2377660000000001,2024-06-21 19:38:10.252,4,screenshot_2024-06-21T19_38_24.png
633,175,1.2544220000000001,2024-06-21 19:38:10.267,4,screenshot_2024-06-21T19_38_24.png
674,159,1.271077,2024-06-21 19:38:10.283,4,screenshot_2024-06-21T19_38_24.png
741,147,1.2877310000000002,2024-06-21 19:38:10.299,4,screenshot_2024-06-21T19_38_24.png
744,162,1.304387,2024-06-21 19:38:10.314,4,screenshot_2024-06-21T19_38_24.png
741,166,1.321042,2024-06-21 19:38:10.343,4,screenshot_2024-06-21T19_38_24.png
751,165,1.3376970000000001,2024-06-21 19:38:10.362,4,screenshot_2024-06-21T19_38_24.png
754,163,1.3543530000000001,2024-06-21 19:38:10.377,4,screenshot_2024-06-21T19_38_24.png
741,162,1.371008,2024-06-21 19:38:10.393,4,screenshot_2024-06-21T19_38_24.png
736,160,1.387664,2024-06-21 19:38:10.409,4,screenshot_2024-06-21T19_38_24.png
735,163,1.4043210000000002,2024-06-21 19:38:10.424,4,screenshot_2024-06-21T19_38_24.png
737,162,1.420978,2024-06-21 19:38:10.444,4,screenshot_2024-06-21T19_38_24.png
743,158,1.437634,2024-06-21 19:38:10.456,4,screenshot_2024-06-21T19_38_24.png
742,163,1.454291,2024-06-21 19:38:10.472,4,screenshot_2024-06-21T19_38_24.png
762,166,1.470947,2024-06-21 19:38:10.487,4,screenshot_2024-06-21T19_38_24.png
798,167,1.4876040000000001,2024-06-21 19:38:10.503,4,screenshot_2024-06-21T19_38_24.png
810,166,1.5042600000000002,2024-06-21 19:38:10.519,4,screenshot_2024-06-21T19_38_24.png
812,165,1.520917,2024-06-21 19:38:10.544,4,screenshot_2024-06-21T19_38_24.png
822,166,1.537574,2024-06-21 19:38:10.550,4,screenshot_2024-06-21T19_38_24.png
821,167,1.554229,2024-06-21 19:38:10.566,4,screenshot_2024-06-21T19_38_24.png
820,165,1.570886,2024-06-21 19:38:10.582,4,screenshot_2024-06-21T19_38_24.png
821,163,1.5875430000000001,2024-06-21 19:38:10.598,4,screenshot_2024-06-21T19_38_24.png
815,161,1.6041990000000002,2024-06-21 19:38:10.629,4,screenshot_2024-06-21T19_38_24.png
814,163,1.620853,2024-06-21 19:38:10.644,4,screenshot_2024-06-21T19_38_24.png
815,166,1.6375060000000001,2024-06-21 19:38:10.660,4,screenshot_2024-06-21T19_38_24.png
815,165,1.654157,2024-06-21 19:38:10.676,4,screenshot_2024-06-21T19_38_24.png
865,167,1.6708100000000001,2024-06-21 19:38:10.691,4,screenshot_2024-06-21T19_38_24.png
912,164,1.687462,2024-06-21 19:38:10.707,4,screenshot_2024-06-21T19_38_24.png
913,172,1.7041140000000001,2024-06-21 19:38:10.723,4,screenshot_2024-06-21T19_38_24.png
910,169,1.720766,2024-06-21 19:38:10.745,4,screenshot_2024-06-21T19_38_24.png
912,157,1.7374180000000001,2024-06-21 19:38:10.755,4,screenshot_2024-06-21T19_38_24.png
912,161,1.75407,2024-06-21 19:38:10.771,4,screenshot_2024-06-21T19_38_24.png
911,163,1.770721,2024-06-21 19:38:10.786,4,screenshot_2024-06-21T19_38_24.png
914,160,1.787373,2024-06-21 19:38:10.802,4,screenshot_2024-06-21T19_38_24.png
913,159,1.804025,2024-06-21 19:38:10.818,4,screenshot_2024-06-21T19_38_24.png
908,159,1.820675,2024-06-21 19:38:10.833,4,screenshot_2024-06-21T19_38_24.png
899,161,1.8373270000000002,2024-06-21 19:38:10.850,4,screenshot_2024-06-21T19_38_24.png
890,168,1.8539780000000001,2024-06-21 19:38:10.865,4,screenshot_2024-06-21T19_38_24.png
855,162,1.870629,2024-06-21 19:38:10.881,4,screenshot_2024-06-21T19_38_24.png
860,157,1.88728,2024-06-21 19:38:10.897,4,screenshot_2024-06-21T19_38_24.png
866,160,1.903931,2024-06-21 19:38:10.928,4,screenshot_2024-06-21T19_38_24.png
865,167,1.920581,2024-06-21 19:38:10.944,4,screenshot_2024-06-21T19_38_24.png
882,173,1.937232,2024-06-21 19:38:10.960,4,screenshot_2024-06-21T19_38_24.png
877,170,1.9538820000000001,2024-06-21 19:38:10.976,4,screenshot_2024-06-21T19_38_24.png
861,169,1.9705320000000002,2024-06-21 19:38:10.991,4,screenshot_2024-06-21T19_38_24.png
818,162,1.987182,2024-06-21 19:38:11.007,4,screenshot_2024-06-21T19_38_24.png
739,143,2.0038329999999998,2024-06-21 19:38:11.027,4,screenshot_2024-06-21T19_38_24.png
681,136,2.020487,2024-06-21 19:38:11.043,4,screenshot_2024-06-21T19_38_24.png
676,135,2.037142,2024-06-21 19:38:11.059,4,screenshot_2024-06-21T19_38_24.png
679,135,2.053797,2024-06-21 19:38:11.075,4,screenshot_2024-06-21T19_38_24.png
665,131,2.070452,2024-06-21 19:38:11.090,4,screenshot_2024-06-21T19_38_24.png
665,129,2.087107,2024-06-21 19:38:11.106,4,screenshot_2024-06-21T19_38_24.png
673,131,2.103762,2024-06-21 19:38:11.122,4,screenshot_2024-06-21T19_38_24.png
675,131,2.120418,2024-06-21 19:38:11.137,4,screenshot_2024-06-21T19_38_24.png
674,123,2.137072,2024-06-21 19:38:11.158,4,screenshot_2024-06-21T19_38_24.png
668,123,2.153728,2024-06-21 19:38:11.170,4,screenshot_2024-06-21T19_38_24.png
668,125,2.170383,2024-06-21 19:38:11.186,4,screenshot_2024-06-21T19_38_24.png
669,120,2.187038,2024-06-21 19:38:11.202,4,screenshot_2024-06-21T19_38_24.png
678,128,2.203693,2024-06-21 19:38:11.218,4,screenshot_2024-06-21T19_38_24.png
678,129,2.220349,2024-06-21 19:38:11.233,4,screenshot_2024-06-21T19_38_24.png
666,118,2.237003,2024-06-21 19:38:11.250,4,screenshot_2024-06-21T19_38_24.png
665,113,2.253659,2024-06-21 19:38:11.266,4,screenshot_2024-06-21T19_38_24.png
673,118,2.270314,2024-06-21 19:38:11.281,4,screenshot_2024-06-21T19_38_24.png
674,141,2.286969,2024-06-21 19:38:11.297,4,screenshot_2024-06-21T19_38_24.png
666,157,2.303624,2024-06-21 19:38:11.328,4,screenshot_2024-06-21T19_38_24.png
665,153,2.320279,2024-06-21 19:38:11.344,4,screenshot_2024-06-21T19_38_24.png
664,147,2.336935,2024-06-21 19:38:11.360,4,screenshot_2024-06-21T19_38_24.png
663,145,2.353589,2024-06-21 19:38:11.376,4,screenshot_2024-06-21T19_38_24.png
664,144,2.370245,2024-06-21 19:38:11.391,4,screenshot_2024-06-21T19_38_24.png
663,143,2.3869000000000002,2024-06-21 19:38:11.407,4,screenshot_2024-06-21T19_38_24.png
662,144,2.403555,2024-06-21 19:38:11.423,4,screenshot_2024-06-21T19_38_24.png
663,144,2.42021,2024-06-21 19:38:11.438,4,screenshot_2024-06-21T19_38_24.png
673,142,2.436866,2024-06-21 19:38:11.454,4,screenshot_2024-06-21T19_38_24.png
715,140,2.45352,2024-06-21 19:38:11.470,4,screenshot_2024-06-21T19_38_24.png
748,143,2.470176,2024-06-21 19:38:11.485,4,screenshot_2024-06-21T19_38_24.png
751,144,2.486831,2024-06-21 19:38:11.501,4,screenshot_2024-06-21T19_38_24.png
749,143,2.5034840000000003,2024-06-21 19:38:11.517,4,screenshot_2024-06-21T19_38_24.png
751,140,2.520139,2024-06-21 19:38:11.532,4,screenshot_2024-06-21T19_38_24.png
749,132,2.536793,2024-06-21 19:38:11.549,4,screenshot_2024-06-21T19_38_24.png
749,132,2.5534470000000002,2024-06-21 19:38:11.565,4,screenshot_2024-06-21T19_38_24.png
746,131,2.5701,2024-06-21 19:38:11.580,4,screenshot_2024-06-21T19_38_24.png
