time_seconds,left_x,left_y,right_x,right_y
0.0,nan,nan,nan,nan
0.01668,nan,nan,nan,nan
0.048335,nan,nan,nan,nan
0.064993,nan,nan,nan,nan
0.099071,nan,nan,nan,nan
0.115749,0.17419086396694183,0.22832465171813965,0.16169503331184387,0.15491929650306702
0.132428,0.1809593290090561,0.2304135411977768,0.16835308074951172,0.15269912779331207
0.149094,0.1803354024887085,0.23556634783744812,0.15850591659545898,0.16521722078323364
0.165755,0.16810035705566406,0.27370792627334595,0.14681477844715118,0.1738356500864029
0.182416,0.16083994507789612,0.3265804946422577,nan,nan
0.199073,nan,nan,nan,nan
0.215704,nan,nan,nan,nan
0.232332,nan,nan,nan,nan
0.248962,nan,nan,nan,nan
0.26562,nan,nan,nan,nan
0.282277,0.322618693113327,0.48733556270599365,0.5010068416595459,0.9490072131156921
0.298935,0.322618693113327,0.48733556270599365,0.5010068416595459,0.9490072131156921
0.315583,0.3251560926437378,0.2204359769821167,0.31342747807502747,0.28360551595687866
0.332223,0.3343520760536194,0.21979263424873352,0.31342747807502747,0.28360551595687866
0.348863,0.3414002060890198,0.25242093205451965,0.3206616938114166,0.17135633528232574
0.36551,0.3335277736186981,0.24791273474693298,0.3206616938114166,0.17135633528232574
0.382166,0.325298547744751,0.22204168140888214,0.3373330235481262,0.11576361209154129
0.398822,0.3233439028263092,0.20771683752536774,0.33777672052383423,0.09927474707365036
0.415477,0.3291833698749542,0.17073087394237518,0.3394506573677063,0.09496914595365524
0.43213,0.3308142125606537,0.14895205199718475,0.3380940556526184,0.10599038749933243
0.448783,0.32570651173591614,0.143357515335083,0.3423546254634857,0.08271921426057816
0.465434,0.32764923572540283,0.14773334562778473,0.3371407389640808,0.07474207133054733
0.48209,0.3342312276363373,0.14028486609458923,0.3263818025588989,0.07545338571071625
0.498745,0.33406370878219604,0.1380455046892166,0.32893410325050354,0.08593303710222244
0.5154,0.3450089693069458,0.14210067689418793,0.3411005139350891,0.10570518672466278
0.532049,0.35453489422798157,0.1512797623872757,0.3670560121536255,0.1093357503414154
0.548687,0.41657745838165283,0.13654059171676636,0.4157477617263794,0.10047878324985504
0.565325,0.4175608456134796,0.14920984208583832,0.42150595784187317,0.10583115369081497
0.581967,0.41937029361724854,0.14330363273620605,0.42145836353302,0.10565860569477081
