x,y,time_seconds,current_time,postID,screenshot_filename
997,547,473.327499,2024-06-23 21:52:39.726,7,screenshot_2024-06-23T21_52_40.png
986,551,473.344153,2024-06-23 21:52:39.742,7,screenshot_2024-06-23T21_52_40.png
928,557,473.360807,2024-06-23 21:52:39.758,7,screenshot_2024-06-23T21_52_40.png
920,561,473.377462,2024-06-23 21:52:39.773,7,screenshot_2024-06-23T21_52_40.png
930,559,473.394116,2024-06-23 21:52:39.789,7,screenshot_2024-06-23T21_52_40.png
938,559,473.410771,2024-06-23 21:52:39.821,7,screenshot_2024-06-23T21_52_40.png
944,559,473.427426,2024-06-23 21:52:39.837,7,screenshot_2024-06-23T21_52_40.png
941,555,473.44408,2024-06-23 21:52:39.853,7,screenshot_2024-06-23T21_52_40.png
937,554,473.460735,2024-06-23 21:52:39.868,7,screenshot_2024-06-23T21_52_40.png
931,554,473.477389,2024-06-23 21:52:39.884,7,screenshot_2024-06-23T21_52_40.png
935,550,473.494043,2024-06-23 21:52:39.899,7,screenshot_2024-06-23T21_52_40.png
946,549,473.510698,2024-06-23 21:52:39.921,7,screenshot_2024-06-23T21_52_40.png
944,547,473.527353,2024-06-23 21:52:39.932,7,screenshot_2024-06-23T21_52_40.png
934,541,473.544008,2024-06-23 21:52:39.948,7,screenshot_2024-06-23T21_52_40.png
935,534,473.560662,2024-06-23 21:52:39.963,7,screenshot_2024-06-23T21_52_40.png
934,533,473.577316,2024-06-23 21:52:39.979,7,screenshot_2024-06-23T21_52_40.png
933,529,473.593971,2024-06-23 21:52:39.994,7,screenshot_2024-06-23T21_52_40.png
932,530,473.610625,2024-06-23 21:52:40.010,7,screenshot_2024-06-23T21_52_40.png
935,515,473.62728,2024-06-23 21:52:40.026,7,screenshot_2024-06-23T21_52_40.png
922,440,473.643935,2024-06-23 21:52:40.041,7,screenshot_2024-06-23T21_52_40.png
935,347,473.660589,2024-06-23 21:52:40.057,7,screenshot_2024-06-23T21_52_40.png
939,372,473.677243,2024-06-23 21:52:40.073,7,screenshot_2024-06-23T21_52_40.png
937,376,473.693898,2024-06-23 21:52:40.089,7,screenshot_2024-06-23T21_52_40.png
933,374,473.710552,2024-06-23 21:52:40.120,7,screenshot_2024-06-23T21_52_40.png
936,371,473.727207,2024-06-23 21:52:40.122,7,screenshot_2024-06-23T21_52_40.png
937,373,473.743862,2024-06-23 21:52:40.152,7,screenshot_2024-06-23T21_52_40.png
919,366,473.760516,2024-06-23 21:52:40.168,7,screenshot_2024-06-23T21_52_40.png
864,314,473.77717,2024-06-23 21:52:40.184,7,screenshot_2024-06-23T21_52_40.png
676,208,473.793825,2024-06-23 21:52:40.199,7,screenshot_2024-06-23T21_52_40.png
668,221,473.81048,2024-06-23 21:52:40.215,7,screenshot_2024-06-23T21_52_40.png
660,211,473.827134,2024-06-23 21:52:40.231,7,screenshot_2024-06-23T21_52_40.png
655,202,473.843789,2024-06-23 21:52:40.247,7,screenshot_2024-06-23T21_52_40.png
648,207,473.860444,2024-06-23 21:52:40.262,7,screenshot_2024-06-23T21_52_40.png
647,210,473.877097,2024-06-23 21:52:40.278,7,screenshot_2024-06-23T21_52_40.png
650,206,473.893752,2024-06-23 21:52:40.293,7,screenshot_2024-06-23T21_52_40.png
649,202,473.910407,2024-06-23 21:52:40.309,7,screenshot_2024-06-23T21_52_40.png
660,201,473.927061,2024-06-23 21:52:40.325,7,screenshot_2024-06-23T21_52_40.png
641,215,473.943716,2024-06-23 21:52:40.341,7,screenshot_2024-06-23T21_52_40.png
623,220,473.960371,2024-06-23 21:52:40.356,7,screenshot_2024-06-23T21_52_40.png
623,225,473.977024,2024-06-23 21:52:40.372,7,screenshot_2024-06-23T21_52_40.png
622,225,473.993679,2024-06-23 21:52:40.388,7,screenshot_2024-06-23T21_52_40.png
626,225,474.010334,2024-06-23 21:52:40.420,7,screenshot_2024-06-23T21_52_40.png
626,227,474.026988,2024-06-23 21:52:40.435,7,screenshot_2024-06-23T21_52_40.png
627,224,474.043643,2024-06-23 21:52:40.451,7,screenshot_2024-06-23T21_52_40.png
624,227,474.060298,2024-06-23 21:52:40.466,7,screenshot_2024-06-23T21_52_40.png
623,227,474.076952,2024-06-23 21:52:40.482,7,screenshot_2024-06-23T21_52_40.png
623,227,474.093606,2024-06-23 21:52:40.503,7,screenshot_2024-06-23T21_52_40.png
623,231,474.110261,2024-06-23 21:52:40.514,7,screenshot_2024-06-23T21_52_40.png
664,233,474.126916,2024-06-23 21:52:40.530,7,screenshot_2024-06-23T21_52_40.png
701,218,474.14357,2024-06-23 21:52:40.546,7,screenshot_2024-06-23T21_52_40.png
709,215,474.160225,2024-06-23 21:52:40.561,7,screenshot_2024-06-23T21_52_40.png
710,218,474.17688,2024-06-23 21:52:40.577,7,screenshot_2024-06-23T21_52_40.png
712,219,474.193533,2024-06-23 21:52:40.593,7,screenshot_2024-06-23T21_52_40.png
720,224,474.210188,2024-06-23 21:52:40.609,7,screenshot_2024-06-23T21_52_40.png
723,228,474.226843,2024-06-23 21:52:40.625,7,screenshot_2024-06-23T21_52_40.png
724,226,474.243497,2024-06-23 21:52:40.641,7,screenshot_2024-06-23T21_52_40.png
723,224,474.260152,2024-06-23 21:52:40.656,7,screenshot_2024-06-23T21_52_40.png
717,228,474.276807,2024-06-23 21:52:40.688,7,screenshot_2024-06-23T21_52_40.png
722,228,474.29346,2024-06-23 21:52:40.703,7,screenshot_2024-06-23T21_52_40.png
