x,y,time_seconds,current_time,postID,screenshot_filename
958,771,157.993254,2024-06-23 21:47:24.393,3,screenshot_2024-06-23T21_47_27.png
956,776,158.00990800000005,2024-06-23 21:47:24.409,3,screenshot_2024-06-23T21_47_27.png
957,780,158.026562,2024-06-23 21:47:24.425,3,screenshot_2024-06-23T21_47_27.png
962,797,158.043217,2024-06-23 21:47:24.440,3,screenshot_2024-06-23T21_47_27.png
961,799,158.059872,2024-06-23 21:47:24.456,3,screenshot_2024-06-23T21_47_27.png
960,794,158.076527,2024-06-23 21:47:24.471,3,screenshot_2024-06-23T21_47_27.png
961,793,158.09318100000002,2024-06-23 21:47:24.492,3,screenshot_2024-06-23T21_47_27.png
960,774,158.109836,2024-06-23 21:47:24.519,3,screenshot_2024-06-23T21_47_27.png
957,761,158.12649100000002,2024-06-23 21:47:24.534,3,screenshot_2024-06-23T21_47_27.png
962,781,158.143144,2024-06-23 21:47:24.550,3,screenshot_2024-06-23T21_47_27.png
956,780,158.15979900000002,2024-06-23 21:47:24.566,3,screenshot_2024-06-23T21_47_27.png
954,756,158.176454,2024-06-23 21:47:24.581,3,screenshot_2024-06-23T21_47_27.png
959,755,158.19310800000002,2024-06-23 21:47:24.597,3,screenshot_2024-06-23T21_47_27.png
939,714,158.209763,2024-06-23 21:47:24.613,3,screenshot_2024-06-23T21_47_27.png
808,420,158.22641800000002,2024-06-23 21:47:24.629,3,screenshot_2024-06-23T21_47_27.png
790,398,158.243072,2024-06-23 21:47:24.644,3,screenshot_2024-06-23T21_47_27.png
783,381,158.259727,2024-06-23 21:47:24.660,3,screenshot_2024-06-23T21_47_27.png
792,373,158.276382,2024-06-23 21:47:24.675,3,screenshot_2024-06-23T21_47_27.png
799,364,158.293036,2024-06-23 21:47:24.692,3,screenshot_2024-06-23T21_47_27.png
798,367,158.30969100000002,2024-06-23 21:47:24.707,3,screenshot_2024-06-23T21_47_27.png
797,357,158.326346,2024-06-23 21:47:24.723,3,screenshot_2024-06-23T21_47_27.png
794,363,158.34300100000002,2024-06-23 21:47:24.738,3,screenshot_2024-06-23T21_47_27.png
795,357,158.359655,2024-06-23 21:47:24.754,3,screenshot_2024-06-23T21_47_27.png
799,361,158.37631000000002,2024-06-23 21:47:24.786,3,screenshot_2024-06-23T21_47_27.png
738,317,158.392964,2024-06-23 21:47:24.802,3,screenshot_2024-06-23T21_47_27.png
678,263,158.40961800000002,2024-06-23 21:47:24.817,3,screenshot_2024-06-23T21_47_27.png
654,241,158.426273,2024-06-23 21:47:24.833,3,screenshot_2024-06-23T21_47_27.png
648,235,158.44292800000002,2024-06-23 21:47:24.849,3,screenshot_2024-06-23T21_47_27.png
640,230,158.459582,2024-06-23 21:47:24.869,3,screenshot_2024-06-23T21_47_27.png
