x,y,time_seconds,current_time,postID,screenshot_filename
931,724,269.203909,2024-06-21 21:28:53.245,8,screenshot_2024-06-21T21_28_55.png
932,723,269.220562,2024-06-21 21:28:53.260,8,screenshot_2024-06-21T21_28_55.png
929,726,269.237217,2024-06-21 21:28:53.276,8,screenshot_2024-06-21T21_28_55.png
930,720,269.253872,2024-06-21 21:28:53.291,8,screenshot_2024-06-21T21_28_55.png
921,715,269.270526,2024-06-21 21:28:53.311,8,screenshot_2024-06-21T21_28_55.png
919,716,269.287181,2024-06-21 21:28:53.323,8,screenshot_2024-06-21T21_28_55.png
915,708,269.303836,2024-06-21 21:28:53.339,8,screenshot_2024-06-21T21_28_55.png
918,719,269.32049,2024-06-21 21:28:53.354,8,screenshot_2024-06-21T21_28_55.png
917,723,269.337144,2024-06-21 21:28:53.370,8,screenshot_2024-06-21T21_28_55.png
915,713,269.353799,2024-06-21 21:28:53.386,8,screenshot_2024-06-21T21_28_55.png
929,717,269.370453,2024-06-21 21:28:53.411,8,screenshot_2024-06-21T21_28_55.png
926,720,269.387108,2024-06-21 21:28:53.417,8,screenshot_2024-06-21T21_28_55.png
918,717,269.403763,2024-06-21 21:28:53.440,8,screenshot_2024-06-21T21_28_55.png
925,720,269.420417,2024-06-21 21:28:53.449,8,screenshot_2024-06-21T21_28_55.png
926,722,269.437072,2024-06-21 21:28:53.465,8,screenshot_2024-06-21T21_28_55.png
918,724,269.453726,2024-06-21 21:28:53.480,8,screenshot_2024-06-21T21_28_55.png
908,721,269.470381,2024-06-21 21:28:53.511,8,screenshot_2024-06-21T21_28_55.png
875,686,269.487035,2024-06-21 21:28:53.528,8,screenshot_2024-06-21T21_28_55.png
806,605,269.50369,2024-06-21 21:28:53.543,8,screenshot_2024-06-21T21_28_55.png
808,595,269.520345,2024-06-21 21:28:53.559,8,screenshot_2024-06-21T21_28_55.png
808,599,269.536999,2024-06-21 21:28:53.574,8,screenshot_2024-06-21T21_28_55.png
804,605,269.553654,2024-06-21 21:28:53.590,8,screenshot_2024-06-21T21_28_55.png
810,602,269.570308,2024-06-21 21:28:53.611,8,screenshot_2024-06-21T21_28_55.png
804,606,269.586962,2024-06-21 21:28:53.629,8,screenshot_2024-06-21T21_28_55.png
801,601,269.603617,2024-06-21 21:28:53.643,8,screenshot_2024-06-21T21_28_55.png
803,591,269.620272,2024-06-21 21:28:53.659,8,screenshot_2024-06-21T21_28_55.png
804,597,269.636926,2024-06-21 21:28:53.675,8,screenshot_2024-06-21T21_28_55.png
790,572,269.653581,2024-06-21 21:28:53.691,8,screenshot_2024-06-21T21_28_55.png
640,353,269.670236,2024-06-21 21:28:53.711,8,screenshot_2024-06-21T21_28_55.png
634,337,269.686889,2024-06-21 21:28:53.723,8,screenshot_2024-06-21T21_28_55.png
556,362,269.703544,2024-06-21 21:28:53.739,8,screenshot_2024-06-21T21_28_55.png
478,387,269.720199,2024-06-21 21:28:53.754,8,screenshot_2024-06-21T21_28_55.png
400,412,269.736854,2024-06-21 21:28:53.770,8,screenshot_2024-06-21T21_28_55.png
322,437,269.753508,2024-06-21 21:28:53.785,8,screenshot_2024-06-21T21_28_55.png
244,462,269.770163,2024-06-21 21:28:53.801,8,screenshot_2024-06-21T21_28_55.png
453,373,269.786818,2024-06-21 21:28:53.818,8,screenshot_2024-06-21T21_28_55.png
614,338,269.803471,2024-06-21 21:28:53.834,8,screenshot_2024-06-21T21_28_55.png
598,365,269.820126,2024-06-21 21:28:53.849,8,screenshot_2024-06-21T21_28_55.png
595,254,269.836781,2024-06-21 21:28:53.873,8,screenshot_2024-06-21T21_28_55.png
598,256,269.853435,2024-06-21 21:28:53.881,8,screenshot_2024-06-21T21_28_55.png
599,246,269.87009,2024-06-21 21:28:53.896,8,screenshot_2024-06-21T21_28_55.png
594,245,269.886745,2024-06-21 21:28:53.928,8,screenshot_2024-06-21T21_28_55.png
600,235,269.903399,2024-06-21 21:28:53.943,8,screenshot_2024-06-21T21_28_55.png
609,237,269.920054,2024-06-21 21:28:53.959,8,screenshot_2024-06-21T21_28_55.png
600,247,269.936708,2024-06-21 21:28:53.974,8,screenshot_2024-06-21T21_28_55.png
600,245,269.953362,2024-06-21 21:28:53.990,8,screenshot_2024-06-21T21_28_55.png
617,240,269.970017,2024-06-21 21:28:54.006,8,screenshot_2024-06-21T21_28_55.png
647,231,269.986672,2024-06-21 21:28:54.022,8,screenshot_2024-06-21T21_28_55.png
690,213,270.003327,2024-06-21 21:28:54.037,8,screenshot_2024-06-21T21_28_55.png
695,215,270.019981,2024-06-21 21:28:54.053,8,screenshot_2024-06-21T21_28_55.png
699,221,270.036636,2024-06-21 21:28:54.069,8,screenshot_2024-06-21T21_28_55.png
698,223,270.05329,2024-06-21 21:28:54.088,8,screenshot_2024-06-21T21_28_55.png
699,228,270.069944,2024-06-21 21:28:54.100,8,screenshot_2024-06-21T21_28_55.png
698,232,270.086599,2024-06-21 21:28:54.128,8,screenshot_2024-06-21T21_28_55.png
696,233,270.103254,2024-06-21 21:28:54.134,8,screenshot_2024-06-21T21_28_55.png
697,229,270.119908,2024-06-21 21:28:54.150,8,screenshot_2024-06-21T21_28_55.png
695,229,270.136563,2024-06-21 21:28:54.165,8,screenshot_2024-06-21T21_28_55.png
715,219,270.153218,2024-06-21 21:28:54.181,8,screenshot_2024-06-21T21_28_55.png
759,222,270.169871,2024-06-21 21:28:54.212,8,screenshot_2024-06-21T21_28_55.png
764,223,270.186526,2024-06-21 21:28:54.228,8,screenshot_2024-06-21T21_28_55.png
771,218,270.203181,2024-06-21 21:28:54.244,8,screenshot_2024-06-21T21_28_55.png
772,225,270.219835,2024-06-21 21:28:54.261,8,screenshot_2024-06-21T21_28_55.png
772,223,270.23649,2024-06-21 21:28:54.277,8,screenshot_2024-06-21T21_28_55.png
770,217,270.253145,2024-06-21 21:28:54.293,8,screenshot_2024-06-21T21_28_55.png
769,216,270.2698,2024-06-21 21:28:54.309,8,screenshot_2024-06-21T21_28_55.png
772,221,270.286453,2024-06-21 21:28:54.325,8,screenshot_2024-06-21T21_28_55.png
769,220,270.303108,2024-06-21 21:28:54.344,8,screenshot_2024-06-21T21_28_55.png
770,218,270.319763,2024-06-21 21:28:54.357,8,screenshot_2024-06-21T21_28_55.png
823,218,270.336417,2024-06-21 21:28:54.373,8,screenshot_2024-06-21T21_28_55.png
849,220,270.353072,2024-06-21 21:28:54.389,8,screenshot_2024-06-21T21_28_55.png
865,219,270.369727,2024-06-21 21:28:54.405,8,screenshot_2024-06-21T21_28_55.png
870,212,270.38638100000003,2024-06-21 21:28:54.421,8,screenshot_2024-06-21T21_28_55.png
865,214,270.403035,2024-06-21 21:28:54.437,8,screenshot_2024-06-21T21_28_55.png
861,211,270.41969,2024-06-21 21:28:54.453,8,screenshot_2024-06-21T21_28_55.png
858,210,270.436344,2024-06-21 21:28:54.468,8,screenshot_2024-06-21T21_28_55.png
859,219,270.452999,2024-06-21 21:28:54.484,8,screenshot_2024-06-21T21_28_55.png
859,220,270.469654,2024-06-21 21:28:54.500,8,screenshot_2024-06-21T21_28_55.png
855,214,270.486308,2024-06-21 21:28:54.516,8,screenshot_2024-06-21T21_28_55.png
871,215,270.502963,2024-06-21 21:28:54.532,8,screenshot_2024-06-21T21_28_55.png
911,217,270.519617,2024-06-21 21:28:54.547,8,screenshot_2024-06-21T21_28_55.png
